frequency,gain,V(q3.rc),V(q3.rb),V(q3.re),V(q3.sic),V(q3.sib),V(q3.fib),V(q3),V(q6.rc),V(q6.rb),V(q6.re),V(q6.sic),V(q6.sib),V(q6.fib),V(q6),V(q8.rc),V(q8.rb),V(q8.re),V(q8.sic),V(q8.sib),V(q8.fib),V(q8),V(q7.rc),V(q7.rb),V(q7.re),V(q7.sic),V(q7.sib),V(q7.fib),V(q7),V(q2.rc),V(q2.rb),V(q2.re),V(q2.sic),V(q2.sib),V(q2.fib),V(q2),V(q1.rc),V(q1.rb),V(q1.re),V(q1.sic),V(q1.sib),V(q1.fib),V(q1),V(q4.rc),V(q4.rb),V(q4.re),V(q4.sic),V(q4.sib),V(q4.fib),V(q4),V(q5.rc),V(q5.rb),V(q5.re),V(q5.sic),V(q5.sib),V(q5.fib),V(q5),V(r5),V(r12),V(r13),V(r4),V(r8),V(r1),V(r7),V(r6),V(r3),V(r2),V(r10),V(r9),V(r14),V(r11),V(onoise),V(inoise)
1.0,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.173895e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.102707e-17,1.5550463e-12,1.0998941e-13,1.2738234e-12,2.04497e-12,0.0,2.8696334e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.2411946e-12,5.3098676e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
1.013959479790029,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.173895e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.1027187e-17,1.555051e-12,1.0998974e-13,1.2738273e-12,2.0449762e-12,0.0,2.869642e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.2412167e-12,5.3098836e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
1.0281138266560663,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.1738951e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.102726e-17,1.5550559e-12,1.0999008e-13,1.2738313e-12,2.0449827e-12,0.0,2.869651e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.2412393e-12,5.3099e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
1.0424657608411212,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.1738951e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.1027383e-17,1.5550609e-12,1.0999043e-13,1.2738353e-12,2.0449892e-12,0.0,2.86966e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.2412623e-12,5.309917e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
1.05701804056138,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.1738951e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.1027462e-17,1.555066e-12,1.099908e-13,1.2738395e-12,2.044996e-12,0.0,2.8696696e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.241286e-12,5.309935e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
1.0717734625362927,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.1738951e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.1027568e-17,1.5550713e-12,1.0999117e-13,1.2738439e-12,2.0450028e-12,0.0,2.8696793e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.241311e-12,5.3099526e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
1.0867348625260576,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.1738951e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.102765e-17,1.5550767e-12,1.0999155e-13,1.2738482e-12,2.04501e-12,0.0,2.8696893e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.241336e-12,5.309971e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
1.10190511587661,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.1738951e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.1027786e-17,1.5550822e-12,1.09991944e-13,1.2738528e-12,2.0450172e-12,0.0,2.8696995e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.2413616e-12,5.3099903e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
1.1172871380722191,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.1738951e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.10279e-17,1.555088e-12,1.0999235e-13,1.2738575e-12,2.0450247e-12,0.0,2.8697101e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.2413885e-12,5.31001e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
1.1328838852957976,10.380795,9.2504604e-14,1.2294664e-09,8.7028905e-11,3.2337724e-09,3.652212e-08,0.0,3.6685716e-08,1.1738951e-15,3.9425293e-11,2.7889633e-12,6.111252e-11,3.8823889e-10,0.0,3.9500164e-10,8.1784774e-16,1.5218856e-12,0.0,1.9934217e-12,2.2584289e-11,0.0,2.2723115e-11,2.3702944e-16,1.7741643e-12,0.0,1.0752376e-12,3.968019e-12,0.0,4.4776075e-12,3.3615181e-13,5.8607794e-09,4.1475584e-10,7.673358e-09,9.712346e-08,0.0,9.760311e-08,3.8817788e-13,5.977046e-09,4.2302914e-10,8.582158e-09,1.12930394e-07,0.0,1.1341442e-07,3.1028015e-17,1.5550938e-12,1.09992764e-13,1.2738623e-12,2.0450325e-12,0.0,2.869721e-12,3.1925773e-16,1.839581e-12,1.3039728e-13,1.7944828e-11,2.91925e-10,0.0,2.9248184e-10,8.6936405e-09,4.701915e-12,1.5101467e-11,2.608092e-08,2.7520957e-09,9.4505396e-08,2.6639919e-08,8.424278e-08,8.273302e-10,3.870554e-09,7.241416e-12,5.3100298e-12,1.0689515e-12,6.317703e-10,2.0310715e-07,1.9565666e-08
