frequency,V(+v),V(n003),V(n002),V(n004),V(n001),V(-v),V(n005),V(y),V(x),I(C2),I(C1),I(I1),I(R4),I(R6),I(R5),I(R3),I(R2),I(R1),I(V2),I(V5),I(V4),I(V3),I(V1),Ix(u1:1),Ix(u1:2),Ix(u1:3),Ix(u1:4),Ix(u1:5),Ix(u2:1),Ix(u2:2),Ix(u2:3),Ix(u2:4),Ix(u2:5)
0.1,0.0,8.976943811944693e-05,8.976943811944693e-05,8.976943811944693e-05,4.488441604858919e-05,0.0,1.3398598395912332e-06,2.6797377697579357e-06,-0.9999973202622302,-2.21058433098387e-19,-7.368614321905407e-18,1.0,2.6797377697579356e-08,1.3398779301667025e-09,1.3398598395912333e-09,4.488502207085774e-08,4.488441604858919e-08,8.976943811944693e-07,-2.8137255625191204e-08,0.4999995111916699,9.425794033068868e-07,0.9999990574205967,0.4999995111916699,-6.059372053687411e-13,6.060148999400559e-13,-0.49999952536029735,-0.49999952536029735,0.999999057420597,-1.8088035489191472e-14,1.809035441089787e-14,1.4168627350405163e-08,1.4168627350405163e-08,-2.813725562858402e-08
0.10797751623277096,0.0,8.976943840366403e-05,8.976943840366403e-05,8.976943840366403e-05,4.488441619049301e-05,0.0,1.3398598438594502e-06,2.679737778306653e-06,-0.9999973202622217,-2.5773521065165595e-19,-8.591173554649406e-18,1.0,2.679737778306653e-08,1.3398779344472028e-09,1.3398598438594503e-09,4.4885022213171017e-08,4.488441619049301e-08,8.976943840366403e-07,-2.8137255715396825e-08,0.49999951119166836,9.425794061934667e-07,0.9999990574205938,0.49999951119166836,-6.059367997701978e-13,6.06014086827521e-13,-0.49999952536029585,-0.49999952536029585,0.9999990574205939,-1.8088023321384865e-14,1.8090330017671348e-14,1.4168627395380198e-08,1.4168627395380198e-08,-2.8137255718521867e-08
0.11659144011798317,0.0,8.976943873051368e-05,8.976943873051368e-05,8.976943873051368e-05,4.488441635367917e-05,0.0,1.3398598489593145e-06,2.679737788520705e-06,-0.9999973202622114,-3.0049719378988087e-19,-1.001657297040099e-17,1.0,2.6797377885207047e-08,1.3398779395613904e-09,1.3398598489593145e-09,4.488502237683452e-08,4.488441635367917e-08,8.976943873051368e-07,-2.813725582294968e-08,0.49999951119166636,9.425794097461804e-07,0.9999990574205903,0.49999951119166636,-6.059363268464842e-13,6.060131387773719e-13,-0.4999995253602939,-0.4999995253602939,0.9999990574205901,-1.808800913643101e-14,1.8090301578924566e-14,1.416862744868373e-08,1.416862744868373e-08,-2.8137255825114677e-08
0.12589254117941673,0.0,8.976943912841762e-05,8.976943912841762e-05,8.976943912841762e-05,4.4884416552352804e-05,0.0,1.3398598547241254e-06,2.6797378000670243e-06,-0.9999973202621999,-3.5035400575374556e-19,-1.1678466676659052e-17,1.0,2.6797378000670244e-08,1.3398779453428988e-09,1.3398598547241254e-09,4.488502257606481e-08,4.4884416552352806e-08,8.976943912841761e-07,-2.8137255944380324e-08,0.4999995111916644,9.425794138540056e-07,0.9999990574205861,0.4999995111916644,-6.059357755714851e-13,6.060120335456342e-13,-0.499999525360292,-0.499999525360292,0.9999990574205864,-1.8087992595542908e-14,1.8090268419333704e-14,1.4168627510316064e-08,1.4168627510316064e-08,-2.8137255948362732e-08
0.13593563908785256,0.0,8.976943958316497e-05,8.976943958316497e-05,8.976943958316497e-05,4.488441677940199e-05,0.0,1.3398598617087951e-06,2.6797378140558344e-06,-0.9999973202621859,-4.0848278081932856e-19,-1.3616092482015397e-17,1.0,2.6797378140558344e-08,1.3398779523470393e-09,1.339859861708795e-09,4.488502280376298e-08,4.488441677940199e-08,8.976943958316497e-07,-2.8137256093566543e-08,0.499999511191662,9.425794186279646e-07,0.9999990574205814,0.499999511191662,-6.059351327700966e-13,6.060107448780984e-13,-0.49999952536028963,-0.49999952536028963,0.9999990574205815,-1.808797331383907e-14,1.8090229761645452e-14,1.4168627583608218e-08,1.4168627583608218e-08,-2.8137256094927672e-08
0.14677992676220694,0.0,8.97694401373883e-05,8.97694401373883e-05,8.97694401373883e-05,4.4884417056135265e-05,0.0,1.339859869691051e-06,2.679737830043046e-06,-0.9999973202621699,-4.762559567912336e-19,-1.5875198312577975e-17,1.0,2.679737830043046e-08,1.3398779603519949e-09,1.3398598696910511e-09,4.488502308125304e-08,4.4884417056135266e-08,8.97694401373883e-07,-2.8137256260099997e-08,0.49999951119165925,9.425794244011243e-07,0.9999990574205756,0.49999951119165925,-6.05934383480881e-13,6.06009242564262e-13,-0.49999952536028697,-0.49999952536028697,0.9999990574205762,-1.8087950830845728e-14,1.8090184687912556e-14,1.4168627666895277e-08,1.4168627666895277e-08,-2.8137256261479198e-08
0.15848931924611134,0.0,8.976944074845505e-05,8.976944074845505e-05,8.976944074845505e-05,4.488441736122759e-05,0.0,1.3398598789481808e-06,2.6797378485837705e-06,-0.9999973202621514,-5.552736786705705e-19,-1.8509122334220146e-17,1.0,2.6797378485837707e-08,1.3398779696355897e-09,1.3398598789481808e-09,4.488502338722746e-08,4.488441736122759e-08,8.976944074845505e-07,-2.8137256454389026e-08,0.49999951119165564,9.425794308404178e-07,0.9999990574205692,0.49999951119165564,-6.059335096368015e-13,6.060074907579012e-13,-0.49999952536028347,-0.49999952536028347,0.9999990574205693,-1.8087924616931795e-14,1.8090132135129967e-14,1.4168627763508384e-08,1.4168627763508384e-08,-2.8137256454679075e-08
0.17113283041617808,0.0,8.976944145899779e-05,8.976944145899779e-05,8.976944145899779e-05,4.4884417715984726e-05,0.0,1.3398598898684489e-06,2.679737870455164e-06,-0.9999973202621295,-6.474015785581089e-19,-2.1580052282666146e-17,1.0,2.6797378704551642e-08,1.3398779805867153e-09,1.3398598898684488e-09,4.4885023743013065e-08,4.4884417715984725e-08,8.976944145899779e-07,-2.8137256683372525e-08,0.4999995111916517,9.425794383899344e-07,0.9999990574205616,0.4999995111916517,-6.059324907965205e-13,6.060054482887508e-13,-0.49999952536027964,-0.49999952536027964,0.9999990574205615,-1.8087894055469867e-14,1.8090070864801978e-14,1.41686278784441e-08,1.41686278784441e-08,-2.8137256684519804e-08
0.1847849797422291,0.0,8.976944232585993e-05,8.976944232585993e-05,8.976944232585993e-05,4.4884418148816116e-05,0.0,1.339859902562514e-06,2.6797378958792713e-06,-0.9999973202621041,-7.548148237874401e-19,-2.5160493734573642e-17,1.0,2.6797378958792714e-08,1.3398779933167573e-09,1.339859902562514e-09,4.488502417704381e-08,4.488441814881612e-08,8.976944232585993e-07,-2.813725695051994e-08,0.4999995111916473,9.425794473827409e-07,0.9999990574205526,0.4999995111916473,-6.059313031753661e-13,6.060030672039906e-13,-0.49999952536027537,-0.49999952536027537,0.9999990574205531,-1.808785842290784e-14,1.8089999428330704e-14,1.4168628011703085e-08,1.4168628011703085e-08,-2.8137256951001975e-08
0.19952623149688797,0.0,8.97694433064089e-05,8.97694433064089e-05,8.97694433064089e-05,4.488441863839153e-05,0.0,1.3398599173075077e-06,2.6797379254112038e-06,-0.9999973202620746,-8.80049473277772e-19,-2.933498198593363e-17,1.0,2.6797379254112038e-08,1.339878008103696e-09,1.3398599173075077e-09,4.4885024668017373e-08,4.488441863839153e-08,8.976944330640891e-07,-2.813725725930072e-08,0.49999951119164193,9.42579457707815e-07,0.9999990574205423,0.49999951119164193,-6.059299183073282e-13,6.060002908595207e-13,-0.49999952536027015,-0.49999952536027015,0.9999990574205426,-1.8087816877645434e-14,1.808991613877479e-14,1.4168628166616762e-08,1.4168628166616762e-08,-2.8137257260787596e-08
