v1,V(n001),V(n002),Ic(Q1),Ib(Q1),Ie(Q1),I(I1),I(V1)
10.649999999999817,10.65,0.73776007,0.020683879,1e-04,-0.020783879,1e-04,-0.020683879
10.659999999999817,10.66,0.7377604,0.02068576,1e-04,-0.020785762,1e-04,-0.02068576
10.669999999999817,10.67,0.7377608,0.020687643,1e-04,-0.020787643,1e-04,-0.020687643
10.679999999999817,10.68,0.7377612,0.020689525,1e-04,-0.020789525,1e-04,-0.020689525
10.689999999999817,10.69,0.73776156,0.020691406,1e-04,-0.020791406,1e-04,-0.020691406
10.699999999999816,10.7,0.7377619,0.02069329,1e-04,-0.020793289,1e-04,-0.02069329
10.709999999999816,10.71,0.73776233,0.02069517,1e-04,-0.02079517,1e-04,-0.02069517
10.719999999999816,10.72,0.7377627,0.020697052,1e-04,-0.020797051,1e-04,-0.020697052
10.729999999999816,10.73,0.73776305,0.020698933,1e-04,-0.020798933,1e-04,-0.020698933
10.739999999999815,10.74,0.73776346,0.020700816,1e-04,-0.020800816,1e-04,-0.020700816
10.749999999999815,10.75,0.7377638,0.020702697,1e-04,-0.020802697,1e-04,-0.020702697
10.759999999999815,10.76,0.7377642,0.020704579,1e-04,-0.020804578,1e-04,-0.020704579
10.769999999999815,10.77,0.7377646,0.02070646,1e-04,-0.020806462,1e-04,-0.02070646
10.779999999999815,10.78,0.73776495,0.020708343,1e-04,-0.020808343,1e-04,-0.020708343
10.789999999999814,10.79,0.7377653,0.020710224,1e-04,-0.020810224,1e-04,-0.020710224
10.799999999999814,10.8,0.7377657,0.020712106,1e-04,-0.020812105,1e-04,-0.020712106
10.809999999999814,10.81,0.7377661,0.020713987,1e-04,-0.020813989,1e-04,-0.020713987
10.819999999999814,10.82,0.73776644,0.02071587,1e-04,-0.02081587,1e-04,-0.02071587
10.829999999999814,10.83,0.7377668,0.020717751,1e-04,-0.020817751,1e-04,-0.020717751
10.839999999999813,10.84,0.7377672,0.020719633,1e-04,-0.020819632,1e-04,-0.020719633
10.849999999999813,10.85,0.7377676,0.020721516,1e-04,-0.020821515,1e-04,-0.020721516
